[ 06.\,05.\,2013 ]
  \WinEdt{KG130116}{( 3 h, 22 min.)}{Monday}{12:15-15:37}
  \WinEdt{ENTOMO}{( -->  1 h, 50 min.)}{sreda}{00:00-00:39}
  \WinEdt{ENTOMO}{( --> )}{sreda}{22:49-23:59}
  \WinEdt{ENTOMO}{( 1 h, 37 min.)}{sreda}{09:46-11:23}
