[ 24.\,06.\,2012 ]
  \WinEdt{pkg1}{(53 h, 35 min.)}{Sunday}{16:40-22:15}
  \WinEdt{pkg1}{( 0 h, 10 min.)}{Sunday}{22:36-22:46}
  \WinEdt{pkg1}{( 0 h, 32 min.)}{Sunday}{22:51-23:23}
  \WinEdt{pkg1}{( 0 h, 12 min.)}{Sunday}{23:23-23:35}
  \WinEdt{pkg1}{( 0 h, 02 min.)}{Sunday}{23:35-23:37}
  \WinEdt{AS2013}{( 8 h, 13 min.)}{Monday}{12:27-20:40}
