[ 11.\,09.\,2013 ]
  \WinEdt{Gen-Primon}{( 3 h, 32 min.)}{Wednesday}{11:05-14:37}
  \WinEdt{Kostanjsek}{( 0 h, 03 min.)}{èetrtek}{0:04-00:07}
  \WinEdt{Kostanjsek}{( 0 h, 01 min.)}{èetrtek}{0:08-00:09}
  \WinEdt{Kostanjsek}{( 0 h, 18 min.)}{èetrtek}{0:11-00:29}
  \WinEdt{Kostanjsek}{( 0 h, 56 min.)}{èetrtek}{01:03-01:59}
  \WinEdt{Kostanjsek}{( 1 h, 03 min.)}{èetrtek}{21:09-22:12}
