[ 22.\,12.\,2008 ]
  \WinEdt{lek}{( 1 h, 51 min.)}{ponedeljek}{06:30-08:21}
  \WinEdt{lek}{( 0 h, 01 min.)}{ponedeljek}{08:21-08:22}
  \WinEdt{lek}{( 2 h, 12 min.)}{ponedeljek}{09:12-11:24}
