[ 20.\,06.\,2012 ]
  \WinEdt{!KrNeki}{( 1 h, 27 min.)}{Wednesday}{21:43-23:10}
  \WinEdt{KG130116}{( -->  9 h, 40 min.)}{Thursday}{00:00-08:55}
  \WinEdt{KG130116}{( --> )}{Thursday}{23:15-23:59}
  \WinEdt{!KrNeki}{( 0 h, 31 min.)}{Thursday}{08:55-09:26}
  \WinEdt{KG130116}{( 6 h, 22 min.)}{Thursday}{10:18-16:40}
  \WinEdt{AS2013}{( -->  3 h, 27 min.)}{sobota}{00:00-00:05}
  \WinEdt{AS2013}{( --> )}{sobota}{20:38-23:59}
