[ 27.\,08.\,2012 ]
  \WinEdt{ICSB}{( 0 h, 01 min.)}{Monday}{14:35-14:36}
  \WinEdt{Kostanjsek}{( -->  1 h, 17 min.)}{sreda}{00:00-01:05}
  \WinEdt{Kostanjsek}{( --> )}{sreda}{23:48-23:59}
  \WinEdt{Kostanjsek}{( 0 h, 03 min.)}{sreda}{10:07-10:10}
  \WinEdt{Kostanjsek}{( 0 h, 44 min.)}{sreda}{10:11-10:55}
  \WinEdt{Decathlon}{( -->  3 h, 44 min.)}{èetrtek}{00:00-00:23}
  \WinEdt{Decathlon}{( --> )}{èetrtek}{20:39-23:59}
  \WinEdt{Decathlon}{( 3 h, 45 min.)}{èetrtek}{09:44-13:29}
