[ 20.\,07.\,2009 ]
  \WinEdt{<untitled project>}{(247 h, 12 min.)}{Sa}{02:02-09:14}
  \WinEdt{traffic}{(25 h, 39 min.)}{Su}{09:14-10:53}
  \WinEdt{JSM2015}{( 0 h, 14 min.)}{ponedeljek}{01:34-01:48}
  \WinEdt{Erjavec}{( 1 h, 09 min.)}{ponedeljek}{10:56-12:05}
  \WinEdt{JSM2015}{( 0 h, 59 min.)}{ponedeljek}{12:05-13:04}
  \WinEdt{JSM2015}{( 0 h, 28 min.)}{ponedeljek}{15:23-15:51}
