[ 14.\,08.\,2012 ]
  \WinEdt{poster}{( 0 h, 30 min.)}{Tuesday}{10:09-10:39}
  \WinEdt{poster}{( 0 h, 08 min.)}{Tuesday}{10:39-10:47}
  \WinEdt{<untitled project>}{( 0 h, 09 min.)}{Tuesday}{10:39-10:48}
  \WinEdt{ECell}{( 2 h, 44 min.)}{Wednesday}{12:29-15:13}
  \WinEdt{veselic}{( 1 h, 03 min.)}{Wednesday}{15:14-16:17}
