[ 27.\,10.\,2013 ]
  \WinEdt{KG130116}{( 0 h, 01 min.)}{Sunday}{20:36-20:37}
  \WinEdt{cene3}{( 0 h, 10 min.)}{Sunday}{20:37-20:47}
  \WinEdt{I2R}{( 0 h, 06 min.)}{Sunday}{20:47-20:53}
  \WinEdt{HowTo}{( 0 h, 58 min.)}{Sunday}{20:53-21:51}
  \WinEdt{SortDocumentTabs}{( 1 h, 17 min.)}{ponedeljek}{22:28-23:45}
