[ 08.\,04.\,2013 ]
  \WinEdt{metode}{( 0 h, 15 min.)}{Monday}{01:40-01:55}
  \WinEdt{ECell}{( 0 h, 34 min.)}{Monday}{11:15-11:49}
  \WinEdt{ECell}{( 0 h, 01 min.)}{Monday}{20:45-20:46}
  \WinEdt{Rakitna}{( 0 h, 55 min.)}{sreda}{11:59-12:54}
