[ 19.\,07.\,2013 ]
  \WinEdt{!KrNeki}{( 0 h, 04 min.)}{Friday}{12:08-12:12}
  \WinEdt{!KrNeki}{( 2 h, 58 min.)}{Friday}{12:13-15:11}
  \WinEdt{Erjavec}{( --> 23 h, 09 min.)}{nedelja}{00:00-13:29}
  \WinEdt{Erjavec}{( --> )}{nedelja}{14:20-23:59}
  \WinEdt{Erjavec}{( 0 h, 23 min.)}{nedelja}{22:53-23:16}
  \WinEdt{Erjavec}{( 0 h, 01 min.)}{nedelja}{23:54-23:55}
