[ 30.\,01.\,2012 ]
  \WinEdt{SemUcBiol}{( 3 h, 00 min.)}{Monday}{20:48-23:48}
  \WinEdt{SemUcBiol}{( 0 h, 01 min.)}{Monday}{23:49-23:50}
  \WinEdt{Bilten}{( -->  0 h, 49 min.)}{Wednesday}{00:00-00:13}
  \WinEdt{Bilten}{( --> )}{Wednesday}{23:24-23:59}
  \WinEdt{Lezije}{( 4 h, 36 min.)}{èetrtek}{10:54-15:30}
