[ 15.\,10.\,2012 ]
  \WinEdt{Lek-Blas}{( 4 h, 29 min.)}{Monday}{10:12-14:41}
  \WinEdt{ECell}{( 0 h, 04 min.)}{Tuesday}{09:51-09:55}
  \WinEdt{ECell}{( 0 h, 09 min.)}{Tuesday}{21:06-21:15}
