[ 17.\,09.\,2012 ]
  \WinEdt{Tajda}{( 1 h, 31 min.)}{Monday}{11:04-12:35}
  \WinEdt{Gen-Primon}{( 0 h, 02 min.)}{Tuesday}{13:44-13:46}
  \WinEdt{Gen-Primon}{( 0 h, 57 min.)}{Tuesday}{13:59-14:56}
  \WinEdt{Lezije}{( 1 h, 04 min.)}{Tuesday}{22:53-23:57}
