[ 19.\,03.\,2012 ]
  \WinEdt{!KrNeki}{( 2 h, 43 min.)}{Monday}{14:19-17:02}
  \WinEdt{!KrNeki}{( 4 h, 07 min.)}{Monday}{18:14-22:21}
  \WinEdt{!KrNeki}{( 0 h, 02 min.)}{Monday}{22:21-22:23}
  \WinEdt{Rakitna}{( -->  3 h, 21 min.)}{èetrtek}{00:00-00:53}
  \WinEdt{Rakitna}{( --> )}{èetrtek}{21:32-23:59}
  \WinEdt{Rakitna}{( 0 h, 01 min.)}{èetrtek}{11:04-11:05}
  \WinEdt{Lezije}{( 9 h, 51 min.)}{èetrtek}{11:05-20:56}
