[ 18.\,12.\,2008 ]
  \WinEdt{lek}{( 0 h, 04 min.)}{èetrtek}{10:01-10:05}
  \WinEdt{GFLV}{( 4 h, 53 min.)}{èetrtek}{10:05-14:58}
  \WinEdt{Bioinformatika}{( 0 h, 02 min.)}{Tuesday}{09:15-09:17}
  \WinEdt{Bioinformatika}{( 5 h, 35 min.)}{Tuesday}{10:17-15:52}
  \WinEdt{<untitled project>}{(12 h, 23 min.)}{Tuesday}{10:17-22:40}
  \WinEdt{Bioinformatika}{( --> 40 h, 40 min.)}{èetrtek}{00:00-15:42}
  \WinEdt{Bioinformatika}{( --> )}{èetrtek}{23:02-23:59}
