[ 20.\,09.\,2013 ]
  \WinEdt{Lezije}{( 0 h, 01 min.)}{Friday}{21:12-21:13}
  \WinEdt{Lezije}{( 0 h, 04 min.)}{Friday}{21:14-21:18}
  \WinEdt{AS2011}{( 0 h, 46 min.)}{Friday}{21:18-22:04}
  \WinEdt{AS2013}{( 1 h, 44 min.)}{Friday}{22:04-23:48}
  \WinEdt{AS2013}{( --> 21 h, 42 min.)}{sobota}{00:00-17:31}
  \WinEdt{AS2013}{( --> )}{sobota}{19:49-23:59}
