[ 01.\,01.\,2013 ]
  \WinEdt{<untitled project>}{(105 h, 18 min.)}{Tuesday}{14:00-23:18}
  \WinEdt{pkg1}{( 0 h, 05 min.)}{Tuesday}{23:18-23:23}
  \WinEdt{<untitled project>}{( 0 h, 06 min.)}{Tuesday}{23:18-23:24}
