[ 20.\,01.\,2013 ]
  \WinEdt{<untitled project>}{(48 h, 44 min.)}{Sunday}{22:58-23:42}
  \WinEdt{!KrNeki}{( 0 h, 16 min.)}{Sunday}{23:42-23:58}
  \WinEdt{Lezije}{( --> 62 h, 21 min.)}{M}{00:00-00:39}
  \WinEdt{Lezije}{( --> )}{M}{10:18-23:59}
  \WinEdt{Lezije}{( -->  3 h, 03 min.)}{W}{00:00-00:52}
  \WinEdt{Lezije}{( --> )}{T}{21:49-23:59}
  \WinEdt{Lezije}{( 0 h, 13 min.)}{W}{11:42-11:55}
  \WinEdt{!KrNeki}{( 2 h, 11 min.)}{W}{21:21-23:32}
  \WinEdt{Lezije}{( 4 h, 33 min.)}{F}{09:27-14:00}
