[ 20.\,11.\,2008 ]
  \WinEdt{_KrNeki}{( 0 h, 01 min.)}{èetrtek}{09:42-09:43}
  \WinEdt{PCRdetekcija}{( 0 h, 43 min.)}{èetrtek}{09:43-10:26}
  \WinEdt{_KrNeki}{( 0 h, 10 min.)}{èetrtek}{15:47-15:57}
  \WinEdt{EC_lenart}{( -->  1 h, 59 min.)}{Tuesday}{00:00-01:27}
  \WinEdt{EC_lenart}{( --> )}{Tuesday}{23:28-23:59}
  \WinEdt{EC_lenart}{( 1 h, 41 min.)}{Tuesday}{11:09-12:50}
  \WinEdt{ECell}{( 5 h, 46 min.)}{Tuesday}{12:50-18:36}
  \WinEdt{KG130116}{( 3 h, 18 min.)}{Wednesday}{13:25-16:43}
