[ 11.\,12.\,2008 ]
  \WinEdt{lek}{( 2 h, 48 min.)}{èetrtek}{11:08-13:56}
  \WinEdt{borci}{( 0 h, 15 min.)}{èetrtek}{13:56-14:11}
  \WinEdt{borci}{( 0 h, 01 min.)}{èetrtek}{22:06-22:07}
  \WinEdt{lek}{( 1 h, 33 min.)}{èetrtek}{22:07-23:40}
  \WinEdt{I2R}{( 0 h, 02 min.)}{èetrtek}{23:40-23:42}
  \WinEdt{lek}{( 0 h, 02 min.)}{èetrtek}{23:42-23:44}
  \WinEdt{Lek-Jamnikar}{( 0 h, 32 min.)}{Tuesday}{09:32-10:04}
  \WinEdt{Lek-Jamnikar}{( 0 h, 03 min.)}{Tuesday}{15:47-15:50}
